,Unnamed: 0,input,target,task_id
85,85,"[0.11, 0.42, 0.2]",B,0
86,86,"[0.46, 0.17, 0.51]",A,0
87,87,"[0.63, 0.19, 0.41]",B,0
88,88,"[0.26, 0.89, 0.83]",A,0
89,89,"[0.6, 0.19, 0.71]",B,0
90,90,"[0.42, 0.82, 0.43]",A,0
91,91,"[0.05, 0.34, 0.39]",B,0
92,92,"[0.91, 0.12, 0.31]",A,0
93,93,"[0.92, 0.45, 0.86]",B,0
94,94,"[0.13, 0.81, 0.85]",A,0
95,95,"[0.77, 0.88, 0.58]",B,0
96,96,"[0.32, 0.58, 0.03]",A,0
97,97,"[0.11, 0.39, 0.53]",B,0
98,98,"[0.92, 0.76, 0.98]",A,0
99,99,"[0.9, 0.24, 0.82]",B,0
100,100,"[0.18, 0.21, 0.59]",A,1
101,101,"[0.02, 0.16, 0.91]",B,1
102,102,"[0.72, 0.46, 0.76]",A,1
103,103,"[0.45, 0.05, 0.43]",B,1
104,104,"[0.63, 0.22, 0.99]",B,1
105,105,"[0.43, 0.29, 0.32]",A,1
106,106,"[0.67, 0.89, 0.27]",B,1
107,107,"[0.09, 0.22, 0.26]",A,1
108,108,"[0.71, 0.9, 0.37]",B,1
109,109,"[0.55, 0.72, 0.39]",A,1
110,110,"[0.43, 0.05, 0.52]",B,1
111,111,"[0.9, 0.15, 0.47]",A,1
112,112,"[0.88, 0.06, 0.43]",A,1
113,113,"[0.6, 0.86, 0.72]",B,1
114,114,"[0.62, 0.57, 0.11]",A,1
115,115,"[0.19, 0.94, 0.99]",B,1
116,116,"[0.04, 0.8, 0.82]",B,1
117,117,"[0.02, 0.68, 0.27]",A,1
118,118,"[0.83, 0.15, 0.87]",B,1
119,119,"[0.43, 0.19, 0.62]",A,1
120,120,"[0.45, 0.38, 0.05]",B,1
121,121,"[0.4, 0.9, 0.21]",B,1
122,122,"[0.71, 0.53, 0.98]",A,1
123,123,"[0.56, 0.38, 0.79]",B,1
124,124,"[0.63, 0.16, 0.24]",A,1
125,125,"[0.85, 0.06, 0.45]",A,1
126,126,"[0.35, 0.68, 0.94]",B,1
127,127,"[0.25, 0.78, 0.19]",A,1
128,128,"[0.91, 0.28, 0.66]",B,1
129,129,"[0.22, 0.02, 0.03]",B,1
130,130,"[0.86, 0.76, 0.96]",A,1
131,131,"[0.32, 0.55, 0.17]",B,1
132,132,"[0.88, 0.95, 0.73]",B,1
133,133,"[0.21, 0.42, 0.98]",A,1
134,134,"[0.11, 0.18, 0.07]",B,1
135,135,"[0.5, 0.39, 0.11]",A,1
136,136,"[0.51, 0.17, 0.41]",B,1
137,137,"[0.2, 0.44, 0.58]",A,1
138,138,"[0.33, 0.31, 0.45]",A,1
139,139,"[0.73, 0.82, 0.07]",B,1
140,140,"[0.62, 0.91, 0.25]",B,1
141,141,"[0.51, 0.17, 0.46]",A,1
142,142,"[0.99, 0.7, 0.94]",A,1
143,143,"[0.37, 0.67, 0.01]",B,1
144,144,"[0.47, 0.76, 0.77]",A,1
145,145,"[0.58, 0.45, 0.33]",B,1
146,146,"[0.29, 0.81, 0.58]",A,1
147,147,"[0.83, 0.59, 0.99]",B,1
148,148,"[0.13, 0.74, 0.67]",B,1
149,149,"[0.07, 0.61, 0.22]",A,1
150,150,"[0.51, 0.63, 0.91]",B,1
151,151,"[0.24, 0.37, 0.69]",A,1
152,152,"[0.7, 0.72, 0.32]",B,1
153,153,"[0.64, 0.42, 0.65]",A,1
154,154,"[0.08, 0.48, 0.17]",B,1
155,155,"[0.09, 0.09, 0.48]",A,1
156,156,"[0.81, 0.03, 0.81]",B,1
157,157,"[0.93, 0.96, 0.41]",A,1
158,158,"[0.31, 0.5, 0.22]",B,1
159,159,"[0.37, 0.11, 0.3]",A,1
160,160,"[0.94, 0.46, 0.55]",B,1
161,161,"[0.3, 0.39, 0.56]",A,1
162,162,"[0.96, 0.12, 0.18]",B,1
163,163,"[0.82, 0.79, 0.29]",A,1
164,164,"[0.79, 0.95, 0.52]",B,1
165,165,"[0.95, 0.44, 0.48]",A,1
166,166,"[0.87, 0.37, 0.86]",B,1
167,167,"[0.8, 0.18, 0.4]",A,1
168,168,"[0.18, 0.01, 0.39]",B,1
169,169,"[0.05, 0.84, 0.25]",A,1
170,170,"[0.76, 0.74, 0.95]",B,1
171,171,"[0.26, 0.2, 0.12]",B,1
172,172,"[0.35, 0.51, 0.68]",A,1
173,173,"[0.65, 0.25, 0.19]",B,1
174,174,"[0.98, 0.98, 0.62]",A,1
175,175,"[0.04, 0.97, 0.69]",B,1
176,176,"[0.4, 0.77, 0.34]",A,1
177,177,"[0.84, 0.31, 0.83]",B,1
178,178,"[0.14, 0.07, 0.51]",A,1
179,179,"[0.66, 0.4, 0.63]",B,1
180,180,"[0.74, 0.62, 0.09]",A,1
181,181,"[0.17, 0.99, 0.97]",B,1
182,182,"[0.78, 0.32, 0.14]",B,1
183,183,"[0.49, 0.23, 0.72]",A,1
184,184,"[0.15, 0.33, 0.08]",B,1
185,185,"[0.9, 0.54, 0.35]",A,1
186,186,"[0.92, 0.87, 0.8]",B,1
187,187,"[0.42, 0.08, 0.53]",A,1
188,188,"[0.36, 0.6, 0.38]",B,1
189,189,"[0.41, 0.28, 0.13]",B,1
190,190,"[0.46, 0.47, 0.88]",A,1
191,191,"[0.75, 0.36, 0.52]",B,1
192,192,"[0.27, 0.58, 0.45]",A,1
193,193,"[0.01, 0.34, 0.31]",B,1
194,194,"[0.57, 0.65, 0.74]",A,1
195,195,"[0.52, 0.85, 0.16]",B,1
196,196,"[0.89, 0.1, 0.54]",B,1
197,197,"[0.12, 0.27, 0.78]",A,1
198,198,"[0.46, 0.09, 0.18]",A,1
199,199,"[0.8, 0.57, 0.1]",B,1
200,200,"[0.97, 0.18, 0.72]",A,2
201,201,"[0.19, 0.76, 0.66]",B,2
202,202,"[0.44, 0.49, 0.21]",A,2
203,203,"[0.63, 0.14, 0.68]",B,2
204,204,"[0.5, 0.32, 0.47]",A,2
205,205,"[0.13, 0.95, 0.44]",B,2
206,206,"[0.12, 0.36, 0.75]",A,2
207,207,"[0.97, 0.05, 0.87]",B,2
208,208,"[0.28, 0.9, 0.11]",A,2
209,209,"[0.95, 0.0, 0.31]",B,2
210,210,"[0.27, 0.29, 0.29]",A,2
211,211,"[0.45, 0.92, 0.57]",B,2
212,212,"[0.19, 0.19, 0.32]",A,2
213,213,"[0.45, 0.36, 0.75]",B,2
214,214,"[0.79, 0.78, 0.84]",A,2
215,215,"[0.02, 0.94, 0.71]",B,2
216,216,"[0.1, 0.09, 0.12]",A,2
217,217,"[0.2, 0.64, 0.9]",B,2
218,218,"[0.68, 0.24, 0.68]",A,2
219,219,"[0.84, 0.46, 0.55]",B,2
220,220,"[0.02, 0.47, 0.51]",A,2
221,221,"[0.88, 0.86, 0.45]",B,2
222,222,"[0.17, 0.5, 0.1]",A,2
223,223,"[0.26, 0.55, 0.66]",B,2
224,224,"[0.67, 0.74, 0.48]",A,2
225,225,"[0.42, 0.03, 0.37]",B,2
226,226,"[0.47, 0.38, 0.76]",A,2
227,227,"[0.4, 0.74, 0.03]",B,2
228,228,"[0.19, 0.53, 0.67]",A,2
229,229,"[0.09, 0.3, 0.9]",B,2
230,230,"[0.09, 0.93, 0.1]",A,2
231,231,"[0.72, 0.02, 0.29]",B,2
232,232,"[0.29, 0.41, 0.06]",A,2
233,233,"[0.9, 0.9, 0.02]",B,2
234,234,"[0.73, 0.5, 0.99]",A,2
235,235,"[0.05, 0.76, 0.3]",B,2
236,236,"[0.03, 0.07, 0.89]",A,2
237,237,"[0.71, 0.21, 0.41]",B,2
238,238,"[0.77, 0.99, 0.8]",A,2
239,239,"[0.03, 0.57, 0.95]",B,2
240,240,"[0.76, 0.38, 0.48]",A,2
241,241,"[0.18, 0.84, 0.64]",B,2
242,242,"[0.7, 0.1, 0.07]",A,2
243,243,"[0.12, 0.48, 0.2]",B,2
244,244,"[0.05, 0.85, 0.22]",A,2
245,245,"[0.67, 0.37, 0.39]",B,2
246,246,"[0.79, 0.12, 0.17]",A,2
247,247,"[0.82, 0.78, 0.58]",B,2
248,248,"[0.51, 0.04, 0.95]",A,2
249,249,"[0.05, 0.11, 0.49]",B,2
250,250,"[0.11, 0.22, 0.64]",A,2
251,251,"[0.55, 0.08, 0.98]",B,2
252,252,"[0.93, 0.09, 0.81]",A,2
253,253,"[0.89, 0.88, 0.12]",B,2
254,254,"[0.22, 0.62, 0.3]",A,2
255,255,"[0.99, 0.53, 0.23]",B,2
256,256,"[0.48, 0.87, 0.74]",A,2
257,257,"[0.08, 0.47, 0.04]",B,2
258,258,"[0.17, 0.14, 0.5]",A,2
259,259,"[0.96, 0.69, 0.33]",B,2
260,260,"[0.5, 0.41, 0.14]",A,2
261,261,"[0.38, 0.2, 0.65]",B,2
262,262,"[0.13, 0.14, 0.03]",A,2
263,263,"[0.6, 0.65, 0.19]",B,2
264,264,"[0.78, 0.25, 0.32]",A,2
265,265,"[0.16, 0.31, 0.27]",B,2
266,266,"[0.02, 0.68, 0.18]",A,2
267,267,"[0.31, 0.91, 0.86]",B,2
268,268,"[0.11, 0.34, 0.59]",A,2
269,269,"[0.86, 0.15, 0.38]",B,2
270,270,"[0.62, 0.8, 0.33]",A,2
271,271,"[0.14, 0.01, 0.79]",B,2
272,272,"[0.98, 0.69, 0.56]",A,2
273,273,"[0.81, 0.47, 0.26]",B,2
274,274,"[0.68, 0.53, 0.96]",A,2
275,275,"[0.54, 0.25, 0.07]",B,2
276,276,"[0.29, 0.07, 0.0]",A,2
277,277,"[0.87, 0.58, 0.77]",B,2
278,278,"[0.27, 0.21, 0.41]",B,2
279,279,"[0.74, 0.0, 0.56]",A,2
280,280,"[0.63, 0.96, 0.52]",B,2
281,281,"[0.52, 0.51, 0.25]",A,2
282,282,"[0.39, 0.36, 0.91]",B,2
283,283,"[0.94, 0.81, 0.44]",A,2
284,284,"[0.15, 0.65, 0.16]",B,2
285,285,"[0.92, 0.3, 0.87]",A,2
286,286,"[0.35, 0.02, 0.28]",B,2
287,287,"[0.72, 0.71, 0.78]",A,2
288,288,"[0.24, 0.88, 0.45]",B,2
289,289,"[0.37, 0.35, 0.11]",A,2
290,290,"[0.08, 0.58, 0.6]",B,2
291,291,"[0.06, 0.17, 0.23]",B,2
292,292,"[0.98, 0.32, 0.24]",A,2
293,293,"[0.5, 0.43, 0.83]",B,2
294,294,"[0.31, 0.73, 0.09]",B,2
295,295,"[0.21, 0.63, 0.58]",A,2
296,296,"[0.63, 0.42, 0.81]",B,2
297,297,"[0.76, 0.11, 0.78]",A,2
298,298,"[0.18, 0.17, 0.44]",B,2
299,299,"[0.1, 0.67, 0.35]",A,2
300,300,"[0.53, 0.82, 0.42]",B,3
301,301,"[0.35, 0.1, 0.08]",A,3
302,302,"[0.03, 0.9, 0.41]",A,3
303,303,"[0.22, 0.14, 0.39]",B,3
304,304,"[0.39, 0.98, 0.17]",A,3
305,305,"[0.78, 0.3, 0.66]",B,3
306,306,"[0.87, 0.81, 0.9]",B,3
307,307,"[0.97, 0.2, 0.13]",A,3
308,308,"[0.8, 0.59, 0.47]",B,3
309,309,"[0.57, 0.24, 0.22]",A,3
310,310,"[0.76, 0.95, 0.61]",A,3
311,311,"[0.44, 0.57, 0.93]",B,3
312,312,"[0.94, 0.37, 0.14]",A,3
313,313,"[0.17, 0.51, 0.64]",B,3
314,314,"[0.14, 0.1, 0.33]",A,3
315,315,"[0.97, 0.88, 0.6]",A,3
316,316,"[0.75, 0.19, 0.29]",A,3
317,317,"[0.82, 0.8, 0.82]",B,3
318,318,"[0.05, 0.7, 0.76]",B,3
319,319,"[0.77, 0.77, 0.89]",B,3
320,320,"[0.29, 0.25, 0.78]",A,3
321,321,"[0.41, 0.36, 0.17]",B,3
322,322,"[0.04, 0.54, 0.95]",A,3
323,323,"[0.13, 0.07, 0.98]",A,3
324,324,"[0.2, 0.52, 0.38]",B,3
325,325,"[0.93, 0.99, 0.07]",A,3
326,326,"[0.46, 0.85, 0.3]",B,3
327,327,"[0.63, 0.01, 0.21]",A,3
328,328,"[0.45, 0.34, 0.64]",A,3
329,329,"[0.11, 0.37, 0.56]",B,3
330,330,"[0.68, 0.44, 0.44]",A,3
331,331,"[0.09, 0.01, 0.19]",A,3
332,332,"[0.09, 0.96, 0.67]",A,3
333,333,"[0.48, 0.16, 0.06]",B,3
334,334,"[0.17, 0.76, 0.9]",A,3
335,335,"[0.35, 0.26, 0.5]",B,3
336,336,"[0.88, 0.57, 0.56]",B,3
337,337,"[0.16, 0.18, 0.8]",A,3
338,338,"[0.99, 0.63, 0.03]",B,3
339,339,"[0.54, 0.48, 0.39]",A,3
340,340,"[0.08, 0.83, 0.85]",B,3
341,341,"[0.86, 0.66, 0.15]",B,3
342,342,"[0.3, 0.01, 0.49]",A,3
343,343,"[0.02, 0.46, 0.34]",B,3
344,344,"[0.6, 0.39, 0.25]",A,3
345,345,"[0.19, 0.15, 0.68]",B,3
346,346,"[0.27, 0.73, 0.02]",A,3
347,347,"[0.73, 0.92, 0.37]",B,3
348,348,"[0.71, 0.28, 0.12]",A,3
349,349,"[0.91, 0.5, 0.51]",B,3
350,350,"[0.89, 0.05, 0.65]",A,3
351,351,"[0.58, 0.0, 0.4]",B,3
352,352,"[0.95, 0.79, 0.74]",B,3
353,353,"[0.65, 0.68, 0.09]",A,3
354,354,"[0.01, 0.24, 0.87]",A,3
355,355,"[0.47, 0.72, 0.54]",A,3
356,356,"[0.74, 0.12, 0.57]",A,3
357,357,"[0.33, 0.89, 0.23]",B,3
358,358,"[0.12, 0.29, 0.72]",A,3
359,359,"[0.26, 0.87, 0.16]",B,3
360,360,"[0.51, 0.08, 0.95]",A,3
361,361,"[0.66, 0.31, 0.03]",B,3
362,362,"[0.81, 0.21, 0.32]",A,3
363,363,"[0.96, 0.49, 0.36]",B,3
364,364,"[0.84, 0.13, 0.78]",B,3
365,365,"[0.4, 0.95, 0.45]",A,3
366,366,"[0.38, 0.61, 0.82]",B,3
367,367,"[0.79, 0.4, 0.0]",A,3
368,368,"[0.64, 0.25, 0.67]",A,3
369,369,"[0.23, 0.38, 0.11]",B,3
370,370,"[0.43, 0.03, 0.74]",B,3
371,371,"[0.72, 0.58, 0.26]",A,3
372,372,"[0.32, 0.71, 0.62]",B,3
373,373,"[0.15, 0.2, 0.55]",A,3
374,374,"[0.9, 0.14, 0.27]",B,3
375,375,"[0.59, 0.32, 0.48]",B,3
376,376,"[0.98, 0.45, 0.81]",A,3
377,377,"[0.42, 0.69, 0.96]",A,3
378,378,"[0.85, 0.02, 0.59]",B,3
379,379,"[0.36, 0.41, 0.03]",A,3
380,380,"[0.67, 0.64, 0.88]",B,3
381,381,"[0.07, 0.27, 0.37]",A,3
382,382,"[0.25, 0.6, 0.65]",B,3
383,383,"[0.49, 0.78, 0.2]",A,3
384,384,"[0.7, 0.53, 0.77]",B,3
385,385,"[0.37, 0.47, 0.99]",A,3
386,386,"[0.24, 0.34, 0.32]",B,3
387,387,"[0.5, 0.19, 0.11]",A,3
388,388,"[0.83, 0.65, 0.58]",B,3
389,389,"[0.92, 0.11, 0.44]",A,3
390,390,"[0.36, 0.44, 0.81]",A,3
391,391,"[0.26, 0.58, 0.25]",B,3
392,392,"[0.72, 0.86, 0.51]",A,3
393,393,"[0.7, 0.22, 0.91]",B,3
394,394,"[0.45, 0.39, 0.56]",A,3
395,395,"[0.37, 0.84, 0.87]",B,3
396,396,"[0.58, 0.09, 0.15]",A,3
397,397,"[0.02, 0.34, 0.07]",B,3
398,398,"[0.25, 0.79, 0.28]",A,3
399,399,"[0.9, 0.93, 0.48]",B,3
400,400,"[0.49, 0.2, 0.36]",A,4
401,401,"[0.85, 0.76, 0.02]",B,4
402,402,"[0.33, 0.47, 0.84]",A,4
403,403,"[0.91, 0.72, 0.73]",B,4
404,404,"[0.29, 0.3, 0.33]",A,4
405,405,"[0.16, 0.72, 0.99]",B,4
406,406,"[0.47, 0.05, 0.64]",A,4
407,407,"[0.66, 0.16, 0.6]",B,4
408,408,"[0.38, 0.89, 0.62]",A,4
409,409,"[0.82, 0.09, 0.45]",B,4
410,410,"[0.1, 0.4, 0.18]",A,4
411,411,"[0.96, 0.85, 0.69]",B,4
412,412,"[0.8, 0.5, 0.13]",A,4
413,413,"[0.61, 0.31, 0.74]",B,4
414,414,"[0.04, 0.94, 0.71]",A,4
415,415,"[0.17, 0.65, 0.38]",B,4
416,416,"[0.34, 0.6, 0.32]",A,4
417,417,"[0.54, 0.37, 0.41]",B,4
418,418,"[0.99, 0.18, 0.44]",A,4
419,419,"[0.14, 0.98, 0.11]",B,4
420,420,"[0.55, 0.27, 0.76]",A,4
421,421,"[0.79, 0.87, 0.57]",B,4
422,422,"[0.64, 0.48, 0.08]",A,4
423,423,"[0.95, 0.8, 0.0]",B,4
424,424,"[0.76, 0.63, 0.82]",A,4
425,425,"[0.07, 0.23, 0.19]",B,4
426,426,"[0.23, 0.68, 0.09]",A,4
427,427,"[0.87, 0.52, 0.59]",B,4
428,428,"[0.52, 0.11, 0.77]",A,4
429,429,"[0.21, 0.59, 0.25]",B,4
430,430,"[0.93, 0.03, 0.54]",A,4
431,431,"[0.4, 0.43, 0.9]",B,4
432,432,"[0.05, 0.75, 0.86]",A,4
433,433,"[0.68, 0.67, 0.29]",B,4
434,434,"[0.92, 0.01, 0.21]",A,4
435,435,"[0.01, 0.14, 0.98]",B,4
436,436,"[0.15, 0.29, 0.67]",A,4
437,437,"[0.5, 0.95, 0.4]",B,4
438,438,"[0.77, 0.1, 0.83]",A,4
439,439,"[0.13, 0.53, 0.64]",B,4
440,440,"[0.08, 0.02, 0.12]",A,4
441,441,"[0.31, 0.83, 0.35]",B,4
442,442,"[0.22, 0.62, 0.03]",A,4
443,443,"[0.2, 0.46, 0.75]",B,4
444,444,"[0.74, 0.24, 0.23]",A,4
445,445,"[0.98, 0.38, 0.78]",B,4
446,446,"[0.67, 0.54, 0.14]",A,4
447,447,"[0.44, 0.25, 0.66]",B,4
448,448,"[0.35, 0.19, 0.91]",B,4
449,449,"[0.83, 0.73, 0.07]",A,4
450,450,"[0.86, 0.08, 0.71]",A,4
451,451,"[0.18, 0.36, 0.47]",B,4
452,452,"[0.48, 0.13, 0.01]",A,4
453,453,"[0.32, 0.74, 0.39]",B,4
454,454,"[0.09, 0.51, 0.96]",A,4
455,455,"[0.88, 0.61, 0.49]",B,4
456,456,"[0.97, 0.78, 0.3]",A,4
457,457,"[0.28, 0.15, 0.63]",B,4
458,458,"[0.27, 0.97, 0.56]",A,4
459,459,"[0.12, 0.32, 0.42]",B,4
460,460,"[0.41, 0.0, 0.17]",A,4
461,461,"[0.65, 0.57, 0.88]",B,4
462,462,"[0.59, 0.28, 0.08]",A,4
463,463,"[0.43, 0.71, 0.52]",B,4
464,464,"[0.69, 0.49, 0.92]",A,4
465,465,"[0.24, 0.44, 0.2]",B,4
466,466,"[0.57, 0.77, 0.34]",A,4
467,467,"[0.75, 0.26, 0.85]",B,4
468,468,"[0.39, 0.56, 0.68]",A,4
469,469,"[0.81, 0.12, 0.37]",B,4
470,470,"[0.14, 0.9, 0.16]",A,4
471,471,"[0.51, 0.69, 0.93]",B,4
472,472,"[0.03, 0.17, 0.02]",A,4
473,473,"[0.62, 0.99, 0.45]",B,4
474,474,"[0.84, 0.35, 0.95]",A,4
475,475,"[0.53, 0.41, 0.5]",B,4
476,476,"[0.19, 0.04, 0.79]",A,4
477,477,"[0.46, 0.64, 0.27]",B,4
478,478,"[0.89, 0.5, 0.6]",A,4
479,479,"[0.6, 0.82, 0.1]",B,4
480,480,"[0.25, 0.87, 0.36]",A,4
481,481,"[0.14, 0.65, 0.97]",B,4
482,482,"[0.99, 0.52, 0.49]",A,4
483,483,"[0.67, 0.16, 0.7]",B,4
484,484,"[0.08, 0.56, 0.16]",A,4
485,485,"[0.07, 0.48, 0.91]",B,4
486,486,"[0.31, 0.99, 0.34]",A,4
487,487,"[0.1, 0.28, 0.31]",B,4
488,488,"[0.37, 0.53, 0.17]",A,4
489,489,"[0.25, 0.26, 0.45]",B,4
490,490,"[0.04, 0.17, 0.64]",A,4
491,491,"[0.75, 0.37, 0.31]",B,4
492,492,"[0.77, 0.69, 0.17]",A,4
493,493,"[0.68, 0.96, 0.89]",B,4
494,494,"[0.39, 0.31, 0.12]",A,4
495,495,"[0.76, 0.16, 0.41]",B,4
496,496,"[0.94, 0.93, 0.9]",A,4
497,497,"[0.41, 0.9, 0.09]",B,4
498,498,"[0.59, 0.15, 0.41]",A,4
499,499,"[0.4, 0.56, 0.49]",B,4
500,500,"[0.58, 0.97, 0.19]",A,5
501,501,"[0.98, 0.36, 0.37]",B,5
502,502,"[0.19, 0.77, 0.19]",A,5
503,503,"[0.28, 0.41, 0.75]",B,5
504,504,"[0.02, 0.21, 0.49]",A,5
505,505,"[0.91, 0.07, 0.89]",B,5
506,506,"[0.8, 0.86, 0.97]",A,5
507,507,"[0.05, 0.07, 0.08]",B,5
508,508,"[0.45, 0.81, 0.72]",A,5
509,509,"[0.21, 0.61, 0.25]",B,5
510,510,"[0.49, 0.69, 0.99]",A,5
511,511,"[0.22, 0.82, 0.32]",B,5
512,512,"[0.5, 0.45, 0.43]",A,5
513,513,"[0.81, 0.14, 0.54]",B,5
514,514,"[0.67, 0.56, 0.3]",A,5
515,515,"[0.06, 0.02, 0.51]",B,5
516,516,"[0.11, 0.94, 0.13]",A,5
517,517,"[0.37, 0.49, 0.86]",B,5
518,518,"[0.73, 0.02, 0.42]",A,5
519,519,"[0.28, 0.19, 0.53]",B,5
520,520,"[0.93, 0.65, 0.29]",A,5
521,521,"[0.65, 0.83, 0.38]",B,5
522,522,"[0.1, 0.11, 0.28]",A,5
523,523,"[0.44, 0.35, 0.72]",B,5
524,524,"[0.43, 0.63, 0.66]",A,5
525,525,"[0.17, 0.44, 0.04]",B,5
526,526,"[0.13, 0.34, 0.15]",A,5
527,527,"[0.2, 0.98, 0.57]",B,5
528,528,"[0.79, 0.22, 0.83]",A,5
529,529,"[0.71, 0.48, 0.08]",B,5
530,530,"[0.32, 0.18, 0.23]",A,5
531,531,"[0.53, 0.99, 0.39]",B,5
532,532,"[0.88, 0.42, 0.11]",A,5
533,533,"[0.38, 0.71, 0.47]",B,5
534,534,"[0.96, 0.08, 0.65]",A,5
535,535,"[0.12, 0.29, 0.81]",B,5
536,536,"[0.26, 0.54, 0.74]",A,5
537,537,"[0.17, 0.25, 0.08]",B,5
538,538,"[0.55, 0.64, 0.55]",A,5
539,539,"[0.82, 0.47, 0.77]",B,5
540,540,"[0.84, 0.74, 0.01]",A,5
541,541,"[0.6, 0.4, 0.24]",B,5
542,542,"[0.01, 0.38, 0.7]",A,5
543,543,"[0.51, 0.62, 0.58]",B,5
544,544,"[0.39, 0.03, 0.33]",A,5
545,545,"[0.48, 0.1, 0.95]",B,5
546,546,"[0.73, 0.85, 0.44]",A,5
547,547,"[0.95, 0.27, 0.68]",B,5
548,548,"[0.09, 0.5, 0.92]",A,5
549,549,"[0.23, 0.04, 0.52]",B,5
550,550,"[0.61, 0.75, 0.76]",A,5
551,551,"[0.3, 0.23, 0.18]",B,5
552,552,"[0.87, 0.79, 0.63]",A,5
553,553,"[0.35, 0.66, 0.32]",A,5
554,554,"[0.54, 0.37, 0.96]",B,5
555,555,"[0.4, 0.46, 0.2]",A,5
556,556,"[0.97, 0.24, 0.48]",B,5
557,557,"[0.24, 0.08, 0.27]",A,5
