,run,trial,casino,mean0,mean1,reward0,reward1,choice
97,1,1,4,1.0,1.0,1.0,1.0,2
98,1,2,1,0.0,0.0,0.0,0.0,1
99,1,3,2,0.0,1.0,0.0,1.0,1
100,1,4,3,1.0,0.0,1.0,0.0,1
101,1,5,1,0.0,0.0,0.0,0.0,1
102,1,6,4,1.0,1.0,1.0,1.0,1
103,1,7,4,1.0,1.0,1.0,1.0,2
104,1,8,1,0.0,0.0,0.0,0.0,1
105,1,9,4,1.0,1.0,1.0,1.0,2
106,1,10,2,0.0,1.0,0.0,1.0,1
107,1,11,3,1.0,0.0,1.0,0.0,1
108,1,12,4,1.0,1.0,1.0,1.0,2
109,1,13,2,0.0,1.0,0.0,1.0,2
110,1,14,2,0.0,1.0,0.0,1.0,2
111,1,15,2,0.0,1.0,0.0,1.0,2
112,1,16,4,1.0,1.0,1.0,1.0,2
113,1,17,3,1.0,0.0,1.0,0.0,2
114,1,18,2,0.0,1.0,0.0,1.0,1
115,1,19,3,1.0,0.0,1.0,0.0,1
116,1,20,4,1.0,1.0,1.0,1.0,1
117,1,21,3,1.0,0.0,1.0,0.0,1
118,1,22,4,1.0,1.0,1.0,1.0,2
119,1,23,3,1.0,0.0,1.0,0.0,1
120,1,24,1,0.0,0.0,0.0,0.0,2
121,1,25,1,0.0,0.0,0.0,0.0,2
122,1,26,4,1.0,1.0,1.0,1.0,2
123,1,27,1,0.0,0.0,0.0,0.0,1
124,1,28,1,0.0,0.0,0.0,0.0,2
125,1,29,1,0.0,0.0,0.0,0.0,2
126,1,30,1,0.0,0.0,0.0,0.0,1
127,1,31,3,1.0,0.0,1.0,0.0,2
128,1,32,2,0.0,1.0,0.0,1.0,1
129,1,33,1,0.0,0.0,0.0,0.0,2
130,1,34,4,1.0,1.0,1.0,1.0,1
131,1,35,4,1.0,1.0,1.0,1.0,2
132,1,36,2,0.0,1.0,0.0,1.0,1
133,1,37,3,1.0,0.0,1.0,0.0,2
134,1,38,3,1.0,0.0,1.0,0.0,2
135,1,39,2,0.0,1.0,0.0,1.0,1
136,1,40,3,1.0,0.0,1.0,0.0,1
137,1,41,2,0.0,1.0,0.0,1.0,1
138,1,42,2,0.0,1.0,0.0,1.0,2
139,1,43,4,1.0,1.0,1.0,1.0,2
140,1,44,1,0.0,0.0,0.0,0.0,2
141,1,45,2,0.0,1.0,0.0,1.0,1
142,1,46,3,1.0,0.0,1.0,0.0,1
143,1,47,4,1.0,1.0,1.0,1.0,1
144,1,48,3,1.0,0.0,1.0,0.0,2
145,1,49,3,1.0,0.0,1.0,0.0,2
146,1,50,3,1.0,0.0,1.0,0.0,1
147,1,51,1,0.0,0.0,0.0,0.0,2
148,1,52,4,1.0,1.0,1.0,1.0,2
149,1,53,3,1.0,0.0,1.0,0.0,2
150,1,54,4,1.0,1.0,1.0,1.0,1
151,1,55,4,1.0,1.0,1.0,1.0,1
152,1,56,2,0.0,1.0,0.0,1.0,2
153,1,57,3,1.0,0.0,1.0,0.0,2
154,1,58,1,0.0,0.0,0.0,0.0,2
155,1,59,4,1.0,1.0,1.0,1.0,2
156,1,60,1,0.0,0.0,0.0,0.0,1
157,1,61,3,1.0,0.0,1.0,0.0,1
158,1,62,1,0.0,0.0,0.0,0.0,2
159,1,63,2,0.0,1.0,0.0,1.0,1
160,1,64,1,0.0,0.0,0.0,0.0,2
161,1,65,4,1.0,1.0,1.0,1.0,2
162,1,66,1,0.0,0.0,0.0,0.0,2
163,1,67,4,1.0,1.0,1.0,1.0,2
164,1,68,2,0.0,1.0,0.0,1.0,2
165,1,69,2,0.0,1.0,0.0,1.0,2
166,1,70,2,0.0,1.0,0.0,1.0,1
167,1,71,4,1.0,1.0,1.0,1.0,1
168,1,72,2,0.0,1.0,0.0,1.0,2
169,1,73,2,0.0,1.0,0.0,1.0,2
170,1,74,4,1.0,1.0,1.0,1.0,2
171,1,75,3,1.0,0.0,1.0,0.0,2
172,1,76,4,1.0,1.0,1.0,1.0,2
173,1,77,2,0.0,1.0,0.0,1.0,2
174,1,78,1,0.0,0.0,0.0,0.0,2
175,1,79,1,0.0,0.0,0.0,0.0,1
176,1,80,2,0.0,1.0,0.0,1.0,1
177,1,81,1,0.0,0.0,0.0,0.0,1
178,1,82,4,1.0,1.0,1.0,1.0,1
179,1,83,1,0.0,0.0,0.0,0.0,2
180,1,84,2,0.0,1.0,0.0,1.0,2
181,1,85,1,0.0,0.0,0.0,0.0,1
182,1,86,3,1.0,0.0,1.0,0.0,1
183,1,87,3,1.0,0.0,1.0,0.0,2
184,1,88,2,0.0,1.0,0.0,1.0,1
185,1,89,3,1.0,0.0,1.0,0.0,1
186,1,90,4,1.0,1.0,1.0,1.0,2
187,1,91,1,0.0,0.0,0.0,0.0,2
188,1,92,3,1.0,0.0,1.0,0.0,1
189,1,93,3,1.0,0.0,1.0,0.0,2
190,1,94,2,0.0,1.0,0.0,1.0,2
191,1,95,1,0.0,0.0,0.0,0.0,2
